tenantId,typeId,id,Value,isActive
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b30,CHICKEN SEEKH KEBAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b31,SEEKH KEBAB (MUTTON),TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b32,VEG. HARA BHARA KEBAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b33,VEG. SEEKH KEBAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b34,VEG. PANEER TIKKA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b35,HARIYALI PANEER TIKKA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b36,MUSHROOM TIKKA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b37,ALOO CHEESE ROLL,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b38,CRABS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b39,TANDOORI CRAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b40,BUTTER PEPPER CRAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b41,BUTTER GARLIC PEPPER CRAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b42,SCHEZWAN CRAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b43,STIR FRY CRAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b44,CRAB GREEN CHILLY SAUCE,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b45,CRAB STICK KEBAB (2 PC),TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b46,CRAB MASALA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b47,STUFFED CRAB,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b48,LOBSTERS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b49,TANDOORI LOBSTER,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b50,LOBSTER BUTTER GARLIC PEPPER,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b51,LOBSTER BUTTER PEPPER,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b52,LOBSTER SCHEZWAN,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b53,LOBSTER GREEN CHILLY SAUCE,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b54,LOBSTER STIR FRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b55,BABY LOBSTER TIKKA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b56,BABY LOBSTER CURRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b57,PRAWNS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b58,TANDOORI PRAWNS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b59,BUTTER PEPPER PRAWNS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b60,BUTTER GARLIC PEPPER PRAWNS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b61,SCHEZWAN PRAWNS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b62,STIR FRY TIGER PRAWNS,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b63,PRAWNS GREEN CHILLY SAUCE,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b64,JUMBO PRAWNS TANDOORI,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b65,JUMBO PRAWNS PAHADI,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b66,PRAWNS BUTTER PEPPER GARLIC,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b67,PRAWNS CRISPY FRIED,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b68,PRAWNS FRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b69,PRAWNS MASALA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b70,SP. PRAWNS CURRY,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b71,PRAWNS SUKHA,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,50920471-CFC8-424B-B6F7-F5B41991CD0C,e547a3da-ed5c-4a8f-a212-81dcd0ee4b72,SPICY PRAWNS SUKHA,TRUE
