tenantId,typeId,id,Value,isActive
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,45991f75-2e56-4529-b2f5-b43759e968ea,276b282f-16e4-42ad-8919-5fc679947910,Guest Service Agent (GSA),TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,45991f75-2e56-4529-b2f5-b43759e968ea,276b282f-16e4-42ad-8919-5fc679947911,Cashier,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,45991f75-2e56-4529-b2f5-b43759e968ea,276b282f-16e4-42ad-8919-5fc679947912,FrontOffice,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,45991f75-2e56-4529-b2f5-b43759e968ea,276b282f-16e4-42ad-8919-5fc679947913,HouseKeeping,TRUE
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,45991f75-2e56-4529-b2f5-b43759e968ea,276b282f-16e4-42ad-8919-5fc679947914,Administrator,TRUE
